[ -41.8372 ,205.55 ],
[ -41.7371 ,233.204 ],
[ -41.6371 ,269.283 ],
[ -41.5371 ,300.264 ],
[ -41.437 ,338.188 ],
[ -41.3368 ,351.69 ],
[ -41.2358 ,359.911 ],
[ -41.1372 ,399.771 ],
[ -41.0356 ,413.256 ],
[ -40.9318 ,430.081 ],
[ -40.8288 ,395.459 ],
[ -40.7309 ,448.048 ],
[ -40.6332 ,518.031 ],
[ -40.533 ,529.319 ],
[ -40.431 ,591.617 ],
[ -40.3271 ,562.708 ],
[ -40.2239 ,564.759 ],
[ -40.1241 ,576.268 ],
[ -40.0225 ,603.968 ],
[ -39.9246 ,648.777 ],
[ -39.8202 ,614.398 ],
[ -39.723 ,668.86 ],
[ -39.6138 ,637.458 ],
[ -39.5146 ,645.288 ],
[ -39.4208 ,769.693 ],
[ -39.3149 ,712.827 ],
[ -39.2145 ,762.571 ],
[ -39.1123 ,692.985 ],
[ -39.0155 ,754.476 ],
[ -38.9152 ,866.674 ],
[ -38.8134 ,835.377 ],
[ -38.7078 ,914.012 ],
[ -38.6132 ,926.156 ],
[ -38.5191 ,1053.19 ],
[ -38.4109 ,842.22 ],
[ -38.3055 ,882.338 ],
[ -38.2139 ,925.13 ],
[ -38.1151 ,1097.02 ],
[ -38.0114 ,1000.53 ],
